	
# Curve 0 of 1, 3038 points	# Curve 0 of 1, 3038 points
# Curve title: "'net_WT1.dat' skip 1 u 1:(1)"	# Curve title: "'net_WT1.dat' skip 1 u 2:(1)"
# x y type	# x y type
 0  215  i	 0  227  i
 1  333  i	 1  164  i
 2  131  i	 2  109  i
 3  92  i	 3  235  i
 4  262  i	 4  190  i
 5  271  i	 5  134  i
 6  149  i	 6  260  i
 7  146  i	 7  203  i
 8  471  i	 8  94  i
 9  294  i	 9  179  i
 10  121  i	 10  216  i
 11  191  i	 11  295  i
 12  75  i	 12  235  i
 13  366  i	 13  248  i
 14  171  i	 14  149  i
 15  204  i	 15  188  i
 16  193  i	 16  141  i
 17  253  i	 17  204  i
 18  209  i	 18  130  i
 19  242  i	 19  248  i
 20  176  i	 20  196  i
 21  150  i	 21  338  i
 22  190  i	 22  246  i
 23  265  i	 23  121  i
 24  144  i	 24  182  i
 25  122  i	 25  182  i
 26  181  i	 26  291  i
 27  66  i	 27  137  i
 28  255  i	 28  156  i
 29  244  i	 29  180  i
 30  289  i	 30  198  i
 31  156  i	 31  100  i
 32  143  i	 32  197  i
 33  119  i	 33  70  i
 34  234  i	 34  271  i
 35  179  i	 35  241  i
 36  554  i	 36  128  i
 37  196  i	 37  141  i
 38  253  i	 38  253  i
 39  104  i	 39  254  i
 40  353  i	 40  187  i
 41  147  i	 41  202  i
 42  313  i	 42  288  i
 43  115  i	 43  292  i
 44  134  i	 44  252  i
 45  108  i	 45  45  i
 46  69  i	 46  197  i
 47  103  i	 47  269  i
 48  189  i	 48  131  i
 49  62  i	 49  392  i
 50  162  i	 50  197  i
 51  178  i	 51  137  i
 52  145  i	 52  300  i
 53  99  i	 53  206  i
 54  166  i	 54  182  i
 55  259  i	 55  247  i
 56  153  i	 56  225  i
 57  179  i	 57  199  i
 58  186  i	 58  225  i
 59  240  i	 59  107  i
 60  163  i	 60  200  i
 61  181  i	 61  220  i
 62  168  i	 62  225  i
 63  286  i	 63  334  i
 64  167  i	 64  243  i
 65  238  i	 65  104  i
 66  220  i	 66  169  i
 67  122  i	 67  179  i
 68  135  i	 68  163  i
 69  159  i	 69  137  i
 70  238  i	 70  326  i
 71  271  i	 71  113  i
 72  392  i	 72  151  i
 73  360  i	 73  188  i
 74  103  i	 74  185  i
 75  205  i	 75  248  i
 76  159  i	 76  193  i
 77  90  i	 77  75  i
 78  271  i	 78  389  i
 79  485  i	 79  180  i
 80  244  i	 80  186  i
 81  62  i	 81  213  i
 82  76  i	 82  242  i
 83  214  i	 83  204  i
 84  146  i	 84  287  i
 85  251  i	 85  235  i
 86  109  i	 86  230  i
 87  131  i	 87  174  i
 88  289  i	 88  274  i
 89  81  i	 89  178  i
 90  205  i	 90  111  i
 91  295  i	 91  110  i
 92  229  i	 92  114  i
 93  325  i	 93  221  i
 94  305  i	 94  147  i
 95  274  i	 95  115  i
 96  226  i	 96  108  i
 97  85  i	 97  222  i
 98  496  i	 98  248  i
 99  189  i	 99  172  i
 100  172  i	 100  144  i
 101  144  i	 101  189  i
 102  84  i	 102  113  i
 103  63  i	 103  198  i
 104  201  i	 104  330  i
 105  235  i	 105  258  i
 106  150  i	 106  131  i
 107  219  i	 107  313  i
 108  116  i	 108  178  i
 109  194  i	 109  266  i
 110  170  i	 110  124  i
 111  242  i	 111  210  i
 112  236  i	 112  362  i
 113  185  i	 113  278  i
 114  152  i	 114  158  i
 115  140  i	 115  237  i
 116  312  i	 116  201  i
 117  177  i	 117  176  i
 118  108  i	 118  106  i
 119  160  i	 119  143  i
 120  271  i	 120  217  i
 121  184  i	 121  209  i
 122  167  i	 122  210  i
 123  297  i	 123  250  i
 124  175  i	 124  216  i
 125  225  i	 125  204  i
 126  204  i	 126  113  i
 127  159  i	 127  370  i
 128  303  i	 128  169  i
 129  223  i	 129  145  i
 130  54  i	 130  76  i
 131  124  i	 131  290  i
 132  106  i	 132  96  i
 133  214  i	 133  232  i
 134  98  i	 134  156  i
 135  100  i	 135  132  i
 136  415  i	 136  252  i
 137  188  i	 137  219  i
 138  97  i	 138  195  i
 139  153  i	 139  236  i
 140  330  i	 140  275  i
 141  214  i	 141  191  i
 142  136  i	 142  211  i
 143  133  i	 143  134  i
 144  98  i	 144  204  i
 145  179  i	 145  107  i
 146  61  i	 146  221  i
 147  168  i	 147  170  i
 148  128  i	 148  220  i
 149  197  i	 149  366  i
 150  108  i	 150  139  i
 151  133  i	 151  278  i
 152  166  i	 152  144  i
 153  22  i	 153  111  i
 154  218  i	 154  259  i
 155  83  i	 155  253  i
 156  162  i	 156  216  i
 157  92  i	 157  212  i
 158  241  i	 158  185  i
 159  150  i	 159  198  i
 160  168  i	 160  110  i
 161  97  i	 161  208  i
 162  244  i	 162  288  i
 163  215  i	 163  239  i
 164  139  i	 164  200  i
 165  112  i	 165  221  i
 166  188  i	 166  97  i
 167  333  i	 167  214  i
 168  305  i	 168  268  i
 169  178  i	 169  215  i
 170  133  i	 170  310  i
 171  211  i	 171  237  i
 172  225  i	 172  230  i
 173  197  i	 173  379  i
 174  215  i	 174  183  i
 175  149  i	 175  262  i
 176  209  i	 176  194  i
 177  181  i	 177  210  i
 178  156  i	 178  320  i
 179  88  i	 179  210  i
 180  314  i	 180  356  i
 181  142  i	 181  178  i
 182  196  i	 182  266  i
 183  379  i	 183  220  i
 184  329  i	 184  281  i
