	
# Curve 0 of 1, 3038 points	# Curve 0 of 1, 2974 points
# Curve title: "net skip 1 u 1:(1)"	# Curve title: "net skip 1 u 2:(1)"
# x y type	# x y type
 0  63  i	 0  237  i
 1  123  i	 1  238  i
 2  78  i	 2  206  i
 3  92  i	 4  118  i
 4  134  i	 5  184  i
 5  115  i	 6  141  i
 6  159  i	 7  100  i
 7  23  i	 8  124  i
 8  121  i	 9  75  i
 9  78  i	 10  217  i
 10  137  i	 11  171  i
 11  134  i	 12  92  i
 12  85  i	 13  122  i
 13  47  i	 14  86  i
 14  196  i	 15  92  i
 15  32  i	 16  39  i
 16  116  i	 17  218  i
 17  179  i	 18  58  i
 18  124  i	 19  144  i
 19  169  i	 20  64  i
 20  155  i	 21  58  i
 21  23  i	 22  124  i
 22  259  i	 23  124  i
 23  152  i	 24  62  i
 24  54  i	 25  110  i
 25  68  i	 26  167  i
 26  90  i	 27  141  i
 27  172  i	 28  174  i
 28  135  i	 29  117  i
 29  29  i	 30  133  i
 30  181  i	 31  119  i
 31  67  i	 32  127  i
 32  66  i	 33  149  i
 33  151  i	 34  64  i
 34  128  i	 35  140  i
 35  86  i	 36  193  i
 36  68  i	 37  90  i
 37  123  i	 38  116  i
 38  44  i	 39  7  i
 39  119  i	 40  127  i
 40  58  i	 41  158  i
 41  93  i	 42  115  i
 42  150  i	 43  117  i
 43  129  i	 45  72  i
 44  110  i	 46  167  i
 45  139  i	 47  125  i
 46  63  i	 48  186  i
 47  94  i	 49  145  i
 48  102  i	 50  66  i
 49  141  i	 51  141  i
 50  81  i	 53  106  i
 51  107  i	 54  144  i
 52  41  i	 55  144  i
 53  121  i	 56  73  i
 54  160  i	 57  260  i
 55  145  i	 58  163  i
 56  35  i	 59  43  i
 57  112  i	 60  139  i
 58  45  i	 61  118  i
 59  104  i	 62  115  i
 60  100  i	 63  79  i
 61  87  i	 64  90  i
 62  74  i	 65  195  i
 63  67  i	 66  77  i
 64  111  i	 68  103  i
 65  145  i	 69  125  i
 66  120  i	 70  125  i
 67  126  i	 71  115  i
 68  139  i	 72  72  i
 69  171  i	 73  113  i
 70  146  i	 74  142  i
 71  129  i	 75  121  i
 72  110  i	 76  80  i
 73  153  i	 77  128  i
 74  192  i	 78  97  i
 75  148  i	 79  103  i
 76  52  i	 80  145  i
 77  122  i	 81  136  i
 78  145  i	 82  171  i
 79  242  i	 83  165  i
 80  205  i	 84  68  i
 81  151  i	 85  282  i
 82  153  i	 86  125  i
 83  144  i	 87  186  i
 84  77  i	 88  87  i
 85  103  i	 89  106  i
 86  101  i	 90  153  i
 87  64  i	 91  165  i
 88  180  i	 92  48  i
 89  74  i	 93  119  i
 90  219  i	 94  164  i
 91  56  i	 95  129  i
 92  170  i	 96  112  i
 93  84  i	 97  138  i
 94  154  i	 98  138  i
 95  118  i	 99  110  i
 96  76  i	 100  168  i
 97  122  i	 101  85  i
 98  82  i	 102  115  i
 99  138  i	 103  160  i
 100  83  i	 104  37  i
 101  171  i	 105  116  i
 102  140  i	 106  100  i
 103  124  i	 107  153  i
 104  157  i	 108  56  i
 105  130  i	 109  134  i
 106  138  i	 110  127  i
 107  186  i	 111  173  i
 108  159  i	 112  159  i
 109  71  i	 113  42  i
 110  256  i	 114  92  i
 111  142  i	 115  121  i
 112  128  i	 116  152  i
 113  60  i	 117  124  i
 114  28  i	 118  170  i
 115  153  i	 119  146  i
 116  129  i	 120  166  i
 117  77  i	 121  163  i
 118  181  i	 122  159  i
 119  53  i	 123  151  i
 120  113  i	 124  110  i
 121  121  i	 125  153  i
 122  159  i	 126  19  i
 123  131  i	 127  110  i
 124  149  i	 128  102  i
 125  155  i	 129  148  i
 126  69  i	 130  34  i
 127  78  i	 131  74  i
 128  164  i	 132  153  i
 129  89  i	 133  103  i
 130  96  i	 134  157  i
 131  26  i	 135  72  i
 132  197  i	 136  102  i
 133  68  i	 137  45  i
 134  113  i	 138  93  i
 135  160  i	 139  1  i
 136  101  i	 140  28  i
 137  95  i	 141  152  i
 138  165  i	 142  90  i
 139  146  i	 143  165  i
 140  157  i	 144  83  i
 141  106  i	 145  81  i
 142  62  i	 146  32  i
 143  197  i	 147  147  i
 144  220  i	 148  141  i
 145  108  i	 149  137  i
 146  96  i	 150  112  i
 147  103  i	 151  141  i
 148  93  i	 152  62  i
 149  146  i	 153  82  i
 150  70  i	 154  162  i
 151  129  i	 155  49  i
 152  42  i	 156  61  i
 153  114  i	 157  65  i
 154  66  i	 158  83  i
 155  112  i	 159  153  i
 156  112  i	 160  60  i
 157  73  i	 161  210  i
 158  199  i	 162  140  i
 159  122  i	 163  68  i
 160  163  i	 164  180  i
 161  86  i	 165  158  i
 162  173  i	 166  159  i
 163  65  i	 167  243  i
 164  46  i	 168  241  i
 165  147  i	 169  188  i
 166  167  i	 170  164  i
 167  95  i	 171  236  i
 168  126  i	 172  113  i
 169  75  i	 173  121  i
 170  98  i	 174  119  i
 171  93  i	 175  171  i
 172  121  i	 176  84  i
 173  83  i	 177  116  i
 174  147  i	 178  116  i
 175  142  i	 179  57  i
 176  79  i	 180  101  i
 177  61  i	 181  241  i
 178  116  i	 182  75  i
 179  129  i	 183  88  i
 180  187  i	 184  105  i
 181  90  i	 185  189  i
 182  38  i	 186  250  i
 183  119  i	 187  64  i
 184  87  i	 188  81  i
 185  51  i	 189  121  i
 186  121  i	 190  103  i
 187  164  i	 191  44  i
 188  133  i	 192  85  i
 189  81  i	 193  49  i
 190  132  i	 194  220  i
