	
# Curve 0 of 1, 3038 points	# Curve 0 of 1, 3036 points
# Curve title: "net skip 1 u 1:(1)"	# Curve title: "net skip 1 u 2:(1)"
# x y type	# x y type
 0  231  i	 0  289  i
 1  272  i	 1  179  i
 2  245  i	 2  147  i
 3  228  i	 3  102  i
 4  180  i	 4  144  i
 5  97  i	 5  240  i
 6  116  i	 6  225  i
 7  158  i	 7  126  i
 8  155  i	 8  330  i
 9  197  i	 9  232  i
 10  223  i	 10  181  i
 11  439  i	 11  249  i
 12  301  i	 12  75  i
 13  322  i	 13  262  i
 14  196  i	 14  239  i
 15  82  i	 15  163  i
 16  312  i	 16  134  i
 17  162  i	 17  38  i
 18  158  i	 18  294  i
 19  225  i	 19  203  i
 20  216  i	 20  262  i
 21  111  i	 21  235  i
 22  197  i	 22  132  i
 23  257  i	 23  313  i
 24  181  i	 24  151  i
 25  139  i	 25  216  i
 26  307  i	 26  104  i
 27  152  i	 27  254  i
 28  129  i	 28  186  i
 29  231  i	 29  95  i
 30  190  i	 30  107  i
 31  196  i	 31  268  i
 32  91  i	 32  269  i
 33  149  i	 33  132  i
 34  245  i	 34  216  i
 35  215  i	 35  242  i
 36  239  i	 36  237  i
 37  257  i	 37  407  i
 38  137  i	 38  95  i
 39  267  i	 39  134  i
 40  126  i	 40  203  i
 41  98  i	 41  252  i
 42  211  i	 42  128  i
 43  187  i	 43  176  i
 44  148  i	 44  159  i
 45  204  i	 45  159  i
 46  120  i	 46  166  i
 47  185  i	 47  82  i
 48  157  i	 48  174  i
 49  124  i	 49  190  i
 50  178  i	 50  156  i
 51  158  i	 51  388  i
 52  191  i	 52  153  i
 53  136  i	 53  315  i
 54  159  i	 54  292  i
 55  333  i	 55  272  i
 56  316  i	 56  401  i
 57  207  i	 57  226  i
 58  94  i	 58  198  i
 59  206  i	 59  209  i
 60  202  i	 60  267  i
 61  181  i	 61  214  i
 62  196  i	 62  296  i
 63  305  i	 63  120  i
 64  309  i	 64  201  i
 65  104  i	 65  164  i
 66  198  i	 66  224  i
 67  192  i	 67  115  i
 68  210  i	 68  179  i
 69  223  i	 69  166  i
 70  178  i	 70  260  i
 71  160  i	 71  120  i
 72  383  i	 72  159  i
 73  193  i	 73  142  i
 74  175  i	 74  130  i
 75  104  i	 75  148  i
 76  411  i	 76  162  i
 77  213  i	 77  125  i
 78  292  i	 78  305  i
 79  232  i	 79  103  i
 80  211  i	 80  111  i
 81  320  i	 81  313  i
 82  170  i	 82  134  i
 83  285  i	 83  230  i
 84  194  i	 84  153  i
 85  89  i	 85  124  i
 86  416  i	 86  153  i
 87  109  i	 87  217  i
 88  181  i	 88  109  i
 89  101  i	 89  191  i
 90  135  i	 90  140  i
 91  239  i	 91  203  i
 92  56  i	 92  256  i
 93  297  i	 93  195  i
 94  381  i	 94  206  i
 95  291  i	 95  190  i
 96  145  i	 96  218  i
 97  145  i	 97  202  i
 98  173  i	 98  169  i
 99  89  i	 99  220  i
 100  178  i	 100  127  i
 101  185  i	 101  225  i
 102  241  i	 102  159  i
 103  223  i	 103  204  i
 104  301  i	 104  140  i
 105  305  i	 105  301  i
 106  175  i	 106  205  i
 107  135  i	 107  116  i
 108  138  i	 108  243  i
 109  185  i	 109  216  i
 110  150  i	 110  79  i
 111  220  i	 111  322  i
 112  315  i	 112  187  i
 113  203  i	 113  88  i
 114  45  i	 114  185  i
 115  80  i	 115  145  i
 116  198  i	 116  193  i
 117  310  i	 117  82  i
 118  219  i	 118  277  i
 119  87  i	 119  353  i
 120  233  i	 120  193  i
 121  153  i	 121  110  i
 122  106  i	 122  139  i
 123  153  i	 123  147  i
 124  165  i	 124  140  i
 125  312  i	 125  357  i
 126  237  i	 126  324  i
 127  326  i	 127  239  i
 128  304  i	 128  177  i
 129  177  i	 129  139  i
 130  177  i	 130  209  i
 131  179  i	 131  211  i
 132  278  i	 132  230  i
 133  99  i	 133  223  i
 134  481  i	 134  103  i
 135  115  i	 135  161  i
 136  272  i	 136  165  i
 137  194  i	 137  191  i
 138  76  i	 138  132  i
 139  106  i	 139  238  i
 140  118  i	 140  115  i
 141  94  i	 141  70  i
 142  78  i	 142  260  i
 143  209  i	 143  269  i
 144  91  i	 144  229  i
 145  209  i	 145  271  i
 146  242  i	 146  334  i
 147  287  i	 147  214  i
 148  193  i	 148  112  i
 149  163  i	 149  216  i
 150  236  i	 150  289  i
 151  267  i	 151  78  i
 152  208  i	 152  111  i
 153  61  i	 153  221  i
 154  79  i	 154  258  i
 155  195  i	 155  179  i
 156  264  i	 156  239  i
 157  61  i	 157  194  i
 158  134  i	 158  145  i
 159  166  i	 159  203  i
 160  148  i	 160  140  i
 161  194  i	 161  205  i
 162  134  i	 162  199  i
 163  192  i	 163  166  i
 164  204  i	 164  403  i
 165  195  i	 165  191  i
 166  123  i	 166  179  i
 167  187  i	 167  120  i
 168  98  i	 168  147  i
 169  375  i	 169  276  i
 170  128  i	 170  191  i
 171  192  i	 171  251  i
 172  331  i	 172  306  i
 173  101  i	 173  210  i
 174  188  i	 174  119  i
 175  99  i	 175  209  i
 176  76  i	 176  254  i
 177  120  i	 177  180  i
 178  255  i	 178  150  i
 179  251  i	 179  190  i
 180  249  i	 180  141  i
 181  302  i	 181  268  i
 182  275  i	 182  221  i
 183  239  i	 183  145  i
 184  79  i	 184  77  i
 185  193  i	 185  251  i
 186  103  i	 186  217  i
 187  183  i	 187  226  i
 188  277  i	 188  176  i
 189  337  i	 189  223  i
 190  239  i	 190  164  i
 191  257  i	 191  164  i
 192  235  i	 192  138  i
 193  307  i	 193  251  i
 194  127  i	 194  208  i
 195  143  i	 195  82  i
 196  62  i	 196  238  i
 197  305  i	 197  166  i
 198  253  i	 198  229  i
 199  149  i	 199  106  i
 200  231  i	 200  270  i
 201  89  i	 201  308  i
 202  81  i	 202  178  i
 203  426  i	 203  217  i
 204  170  i	 204  146  i
 205  227  i	 205  229  i
 206  313  i	 206  210  i
 207  203  i	 207  289  i
 208  223  i	 208  124  i
 209  208  i	 209  192  i
 210  181  i	 210  246  i
 211  159  i	 211  184  i
 212  126  i	 212  230  i
 213  326  i	 213  196  i
 214  155  i	 214  119  i
 215  157  i	 215  206  i
 216  104  i	 216  122  i
 217  195  i	 217  183  i
 218  138  i	 218  198  i
 219  208  i	 219  225  i
 220  200  i	 220  261  i
 221  289  i	 221  192  i
 222  245  i	 222  233  i
 223  211  i	 223  269  i
 224  429  i	 224  182  i
 225  123  i	 225  87  i
 226  97  i	 226  201  i
 227  303  i	 227  161  i
 228  286  i	 228  150  i
 229  183  i	 229  124  i
 230  416  i	 230  127  i
 231  302  i	 231  257  i
 232  185  i	 232  278  i
 233  141  i	 233  259  i
 234  224  i	 234  133  i
 235  231  i	 235  118  i
 236  88  i	 236  126  i
 237  185  i	 237  201  i
 238  203  i	 238  154  i
 239  230  i	 239  266  i
 240  136  i	 240  316  i
 241  258  i	 241  185  i
 242  136  i	 242  190  i
 243  217  i	 243  176  i
