
# Curve 0 of 1, 37 points
# Curve title: "deg u (bin($5,10)):(1.0)"
# x y type
 0  13  i
 10  17  i
 20  42  i
 30  73  i
 40  95  i
 50  110  i
 60  140  i
 70  181  i
 80  196  i
 90  199  i
 100  233  i
 110  260  i
 120  216  i
 130  186  i
 140  191  i
 150  176  i
 160  151  i
 170  111  i
 180  96  i
 190  72  i
 200  64  i
 210  43  i
 220  33  i
 230  30  i
 240  28  i
 250  9  i
 260  10  i
 270  8  i
 280  1  i
 290  7  i
 300  2  i
 310  2  i
 320  1  i
 340  1  i
 350  1  i
 370  1  i


