0 0 2.34256	0 0 1.17478
0.000244141 4.75752 2.79309	0 31.1622 1.54464
0.000488281 4.72756 3.25742	0 17.8289 1.93837
0.000732422 4.39426 3.72378	0 19.0264 2.33223
0.000976562 4.47147 4.18217	0 20.5029 2.70455
0.0012207 5.34195 4.62543	0 41.6716 3.04074
0.00146484 5.7465 5.04986	0 44.2395 3.33644
0.00170898 5.04299 5.45528	0 23.1416 3.59839
0.00195312 5.86318 5.84463	0 22.8042 3.84313
0.00219727 6.87358 6.2232	0 52.4058 4.09473
0.00244141 7.21674 6.59773	0 50.8269 4.38235
0.00268555 6.04277 6.97545	0 32.3514 4.73794
0.00292969 6.90449 7.36326	0 47.9776 5.1935
0.00317383 7.37202 7.76707	0 51.2221 5.77704
0.00341797 6.60585 8.19143	0 34.8126 6.5072
0.00366211 8.25387 8.63936	0 60.6945 7.38763
0.00390625 10.7276 9.11247	0 105.769 8.40305
0.00415039 8.74714 9.61125	0 84.3766 9.51941
0.00439453 9.38062 10.1355	0 66.0496 10.6895
0.00463867 8.36567 10.6846	0 59.824 11.8633
0.00488281 13.2553 11.2579	0 245.745 13.0012
0.00512695 12.3744 11.8552	0 190.403 14.086
0.00537109 12.5082 12.476	0 167.452 15.1309
0.00561523 11.6081 13.1201	0 149.157 16.1821
0.00585938 13.128 13.7871	0 203.266 17.3143
0.00610352 13.3934 14.476	0 236.335 18.6206
0.00634766 15.6258 15.1861	0 182.752 20.1975
0.0065918 15.7486 15.9161	0 283.238 22.126
0.00683594 14.3301 16.6657	0 176.321 24.4518
0.00708008 20.8557 17.435	0 400.424 27.1726
0.00732422 18.6503 18.2257	0 263.846 30.236
0.00756836 18.0823 19.0408	0 221.191 33.5512
0.0078125 20.1274 19.8845	0 553.521 37.0144
0.00805664 16.9182 20.7609	0 303.531 40.5387
0.00830078 21.552 21.6735	0 739.454 44.0818
0.00854492 23.1242 22.6231	0 540.049 47.6643
0.00878906 25.3072 23.6058	0 665.508 51.3722
0.0090332 21.5075 24.6123	0 366.006 55.337
0.00927734 24.8814 25.6258	0 583.708 59.6886
0.00952148 25.7825 26.6229	0 782.589 64.4818
0.00976562 24.3587 27.5737	0 480.309 69.6144
0.0100098 31.1396 28.4449	0 802.135 74.7751
0.0102539 31.0102 29.203	0 677.513 79.462
0.010498 34.6148 29.818	0 1241.48 83.0924
0.0107422 41.1282 30.268	0 1965.43 85.174
0.0109863 31.6979 30.5421	0 951.485 85.4708
0.0112305 32.9278 30.6423	0 1040.81 84.0843
0.0114746 30.8724 30.5837	0 934.792 81.4205
0.0117188 34.1824 30.3925	0 1549.92 78.0697
0.0119629 28.4885 30.1032	0 1226.7 74.6674
0.012207 32.1269 29.7541	0 715.783 71.7956
0.0124512 28.9618 29.3829	0 870.434 69.9348
0.0126953 26.3796 29.0221	0 605.699 69.438
0.0129395 23.6904 28.6965	0 553.48 70.4906
0.0131836 25.8946 28.4203	0 556.614 73.055
0.0134277 29.2372 28.1978	0 1096.43 76.8316
0.0136719 25.6964 28.0244	0 814.393 81.2816
0.013916 25.1957 27.8895	0 822.502 85.7299
0.0141602 30.8927 27.7799	0 1091.96 89.5244
0.0144043 33.2093 27.6836	0 1319.62 92.1952
0.0146484 26.2607 27.5926	0 723.357 93.5516
0.0148926 28.819 27.5049	0 1091.27 93.6857
0.0151367 28.4811 27.4243	0 989.002 92.8912
0.0153809 27.5214 27.3604	0 704.809 91.5386
0.015625 20.8203 27.3258	0 371.161 89.9604
0.0158691 25.8932 27.3348	0 662.571 88.3843
0.0161133 29.6725 27.4006	0 793.702 86.9305
0.0163574 25.0122 27.534	0 648.134 85.6624
0.0166016 27.5245 27.7424	0 1060.39 84.6584
0.0168457 27.6233 28.0286	0 1052.08 84.0692
0.0170898 26.4321 28.391	0 826.457 84.13
0.017334 27.7845 28.823	0 619.035 85.1181
0.0175781 27.7664 29.3134	0 747.345 87.2733
0.0178223 27.681 29.8465	0 608.824 90.7088
0.0180664 31.3967 30.4032	0 923.789 95.3457
0.0183105 29.1411 30.9625	0 817.084 100.887
0.0185547 31.1088 31.5033	0 938.825 106.845
0.0187988 37.8759 32.0068	0 1261.8 112.618
0.019043 36.9629 32.4587	0 1812.58 117.615
0.0192871 30.2912 32.8506	0 1238.28 121.397
0.0195312 33.8523 33.181	0 1392.14 123.788
0.0197754 36.9466 33.4551	0 1562.87 124.922
0.0200195 35.5238 33.6836	0 1112.93 125.197
0.0202637 31.6768 33.8803	0 1150.15 125.173
0.0205078 31.0962 34.0603	0 1018.77 125.446
0.020752 33.6983 34.237	0 1007.46 126.556
0.0209961 36.3943 34.4204	0 1347.48 128.92
0.0212402 34.7747 34.6152	0 1486.17 132.771
0.0214844 33.7054 34.8209	0 1293.85 138.094
0.0217285 32.7687 35.0319	0 1041.1 144.556
0.0219727 29.7353 35.2394	0 1030.36 151.496
0.0222168 39.7196 35.433	0 2520.01 158.008
0.0224609 42.7647 35.6036	0 1706.4 163.12
0.0227051 35.0143 35.7456	0 1509.19 166.039
0.0229492 35.3485 35.8589	0 1385.45 166.364
0.0231934 38.5027 35.9489	0 1924.07 164.189
0.0234375 34.4319 36.0266	0 1132.96 160.052
0.0236816 39.4973 36.1062	0 1515.39 154.728
0.0239258 31.0827 36.2033	0 801.025 148.964
0.0241699 35.777 36.3318	0 1943.95 143.271
0.0244141 34.3054 36.5018	0 1937.36 137.861
0.0246582 33.5921 36.718	0 1438.76 132.778
0.0249023 37.7191 36.9795	0 1773.99 128.108
0.0251465 34.5501 37.281	0 1666.94 124.128
0.0253906 44.1278 37.6139	0 2125.78 121.288
0.0256348 35.0179 37.9695	0 1004.98 120.013
0.0258789 38.3517 38.3406	0 1678.05 120.465
0.026123 36.2488 38.7232	0 1417.76 122.414
0.0263672 43.4118 39.1178	0 1735.01 125.318
0.0266113 40.6664 39.528	0 1969.54 128.565
0.0268555 42.5671 39.9599	0 1370.14 131.728
0.0270996 36.1435 40.4193	0 1589.21 134.683
0.0273438 40.4623 40.9099	0 1641.42 137.532
0.0275879 31.6023 41.4322	0 995.303 140.397
0.027832 39.608 41.9829	0 1872.58 143.243
0.0280762 46.856 42.5568	0 1959.64 145.837
0.0283203 53.3231 43.1487	0 3961.63 147.869
0.0285645 39.6231 43.7568	0 1809.54 149.163
0.0288086 44.1562 44.3851	0 2415.4 149.833
0.0290527 42.0807 45.0446	0 2858.79 150.305
0.0292969 56.5878 45.7524	0 2393.88 151.201
